Index	ImgID	Ratings Received	Mean of Ratings	Standard Deviation	6	7	8	9	10	11	12
					1	2	3	4	5	6	7
1	1008958	18	5.17	0.583333333	0	0	0	4	7	7	0
2	1009826	11	5.36	1.32231405	0	0	1	1	4	3	2
3	1010164	21	5.76	0.421487603	0	0	0	1	4	15	2
4	1010795	25	5.44	0.5664	0	0	0	4	6	15	0
5	1010893	27	6.52	0.320153061	0	0	0	0	1	11	16
6	1012254	27	5.07	0.587105624	0	0	0	7	11	9	0
7	1015996	12	5.67	0.722222222	0	0	1	0	1	10	0
8	1016162	31	6.03	0.16024974	0	0	0	0	2	26	3
9	1016182	10	5.5	0.64	0	0	0	2	2	6	0
10	1016311	23	6.39	0.326388889	0	0	0	0	1	12	11
11	1016343	37	6.19	0.382642998	0	0	0	0	4	22	13
12	1016686	47	6.43	0.408163265	0	0	0	1	1	23	24
13	1018451	14	6.07	0.359375	0	0	0	0	2	10	4
14	1019147	57	5.47	0.600184672	0	0	1	5	19	30	2
15	1020568	41	5.12	0.692444973	0	0	2	5	21	12	1
16	1021911	33	6.18	-1	-1	-1	-1	-1	-1	-1	-1
17	1022109	13	6.31	0.213017751	0	0	0	0	0	9	4
18	1022419	53	6.32	0.361730718	0	0	0	1	1	34	25
19	1023522	35	6.2	0.321799308	0	0	0	0	3	22	9
20	1024430	15	4.8	0.693333333	0	0	1	4	7	3	0
21	1024705	17	5	-1	-1	-1	-1	-1	-1	-1	-1
22	1024892	18	4.5	0.805555556	0	0	2	8	5	3	0
23	1025315	12	5.92	0.224852071	0	0	0	0	2	10	1
24	1025600	18	5	0.941176471	0	0	1	5	4	7	0
25	1026407	25	5.36	0.7904	0	0	1	3	8	12	1
26	1026868	97	5.9	0.458975427	0	0	1	1	19	63	14
27	1027296	59	6.22	0.351318359	0	0	0	0	5	37	22
28	1029026	11	4.18	1.239669421	0	0	4	3	2	2	0
29	1029239	16	6.19	0.21	0	0	0	0	0	14	6
30	1029881	47	6.43	0.463010204	0	0	0	1	3	21	31
31	1030736	10	5.1	0.89	0	0	0	4	1	5	0
32	1031781	12	5	1.666666667	0	0	2	3	1	5	1
33	1032145	32	6.12	0.583333333	0	0	0	1	5	17	13
34	1032546	12	5.08	0.576388889	0	0	0	3	5	4	0
35	1032547	13	4.85	0.899408284	0	0	1	4	4	4	0
36	1033148	25	5.28	-1	-1	-1	-1	-1	-1	-1	-1
37	1034956	57	5.12	0.669128963	0	0	1	11	27	16	2
38	1036735	11	5.82	0.876033058	0	0	0	2	0	7	2
39	1042104	14	6.07	0.462222222	0	0	0	1	0	11	3
40	1042467	15	5.6	0.632653061	0	0	0	1	4	7	2
41	1045234	16	5.5	0.625	0	0	0	1	8	5	2
42	1049550	45	6.16	0.55785124	0	0	0	1	6	21	16
43	1053125	28	4.96	0.605867347	0	0	1	6	14	7	0
44	1055085	11	4.73	0.925619835	0	0	1	4	3	3	0
45	1056337	17	5.65	0.816608997	0	0	1	1	2	12	1
46	1058346	17	4.82	0.733564014	0	0	1	5	7	4	0
47	1058555	15	5.93	0.462222222	0	0	0	0	4	8	3
48	1059407	21	6.29	0.735207101	0	0	0	1	4	8	13
49	1059873	10	5	0.8	0	0	1	1	5	3	0
50	1060349	10	5.3	0.61	0	0	0	2	3	5	0
51	1060788	15	5.33	0.888888889	0	0	1	1	6	6	1
52	1060888	31	5.97	0.4375	0	0	0	1	4	21	6
53	1063443	21	5.52	0.344671202	0	0	0	1	8	12	0
54	1063819	19	5.26	0.825484765	0	0	1	2	8	7	1
55	1065556	12	5.92	0.409722222	0	0	0	0	3	7	2
56	1071464	22	5.64	0.972222222	0	0	1	2	5	12	4
57	1072717	10	5.3	-1	-1	-1	-1	-1	-1	-1	-1
58	1082228	10	4.9	0.49	0	0	0	3	5	2	0
59	1082318	17	6.18	0.25	0	0	0	0	1	13	4
60	1083232	21	5.48	0.535147392	0	0	0	2	8	10	1
61	1085462	19	5.26	0.720221607	0	0	1	2	7	9	0
62	1087294	10	5.6	0.64	0	0	0	1	3	5	1
63	1087298	12	5.58	0.409722222	0	0	0	0	6	5	1
64	1087424	12	4.33	1.338842975	0	0	3	2	3	3	0
65	108827	61	5.87	0.487252862	0	0	0	4	7	43	8
66	108828	46	5.46	0.884297521	0	0	0	9	7	23	5
67	1094630	14	4.79	0.882653061	0	0	1	5	4	4	0
68	1095391	10	5.7	0.41	0	0	0	0	4	5	1
69	1096209	21	4.95	0.712018141	0	0	2	2	12	5	0
70	1096842	33	6	-1	-1	-1	-1	-1	-1	-1	-1
71	1096845	66	6.33	0.37654321	0	0	0	0	5	34	33
72	1096991	10	4.8	-1	-1	-1	-1	-1	-1	-1	-1
73	1097320	12	5	1.166666667	0	0	1	3	4	3	1
74	1098057	11	4.36	-1	-1	-1	-1	-1	-1	-1	-1
75	1098863	12	4.92	0.409722222	0	0	0	3	7	2	0
76	1099055	11	5.27	0.380165289	0	0	0	1	6	4	0
77	1102929	23	5.17	0.665406427	0	0	1	2	13	6	1
78	1105808	10	4.6	0.5	0	0	0	2	4	2	0
79	1107162	14	4.93	0.923469388	0	0	2	1	7	4	0
80	1107462	91	6.42	0.349437734	0	0	0	0	5	44	49
81	1109150	23	6.09	-1	-1	-1	-1	-1	-1	-1	-1
82	1109712	14	5.29	0.346938776	0	0	0	1	8	5	0
83	1110195	10	4.9	0.49	0	0	0	3	5	2	0
84	1111274	12	5.17	0.472222222	0	0	0	2	6	4	0
85	1111551	13	4.92	0.666666667	0	0	0	3	7	1	1
86	1112155	18	6.39	0.346020761	0	0	0	0	1	9	7
87	1113280	28	5.46	0.891581633	0	0	1	4	6	15	2
88	1115857	14	5.64	0.801020408	0	0	0	1	6	4	3
89	1116848	26	5.42	0.397928994	0	0	0	2	11	13	0
90	1120823	10	5.1	0.49	0	0	0	2	5	3	0
91	1121138	11	5.18	0.512396694	0	0	0	2	5	4	0
92	1121193	23	5.39	0.846880907	0	0	1	2	9	9	2
93	1121340	30	4.93	0.595555556	0	0	0	10	12	8	0
94	1122068	10	5.1	0.69	0	0	0	3	3	4	0
95	1122082	12	5.33	0.888888889	0	0	0	3	3	5	1
96	1126333	10	3.9	0.69	0	0	3	6	0	1	0
97	1129385	13	5.23	0.792899408	0	0	1	1	5	6	0
98	113119	10	4.8	-1	-1	-1	-1	-1	-1	-1	-1
99	1131540	10	5.5	0.25	0	0	0	0	5	5	0
100	1134982	20	5.25	0.2875	0	0	0	1	13	6	0
101	1136335	23	5.7	0.298676749	0	0	0	0	8	14	1
102	1138572	15	5.73	-1	-1	-1	-1	-1	-1	-1	-1
103	1139562	19	5	0.947368421	0	0	2	3	7	7	0
104	1140641	37	6.41	0.472098765	0	0	0	0	5	12	28
105	1140643	33	6.3	0.484375	0	0	0	0	5	15	20
106	1142346	11	4.55	1.16	0	0	2	1	4	3	0
107	1143134	12	5.42	0.743055556	0	0	1	0	4	7	0
108	1144111	11	5.27	0.743801653	0	0	0	2	5	3	1
109	1146799	38	6.03	0.288781163	0	0	0	0	5	27	6
110	1146816	21	5.62	0.33106576	0	0	0	0	9	11	1
111	1149856	22	5.23	0.811983471	0	0	1	3	9	8	1
112	1149884	24	5.62	0.504801097	0	0	0	2	6	17	2
113	1149955	17	5.71	-1	-1	-1	-1	-1	-1	-1	-1
114	1151228	28	5.79	0.651404787	0	0	1	0	7	18	5
115	1151596	15	5.33	1.49609375	0	0	1	4	1	7	3
116	1151625	18	5.94	0.163580247	0	0	0	0	2	15	1
117	1151753	10	4.7	0.21	0	0	0	3	7	0	0
118	1152020	12	6	0.166666667	0	0	0	0	1	10	1
119	1152799	31	5.71	0.528616025	0	0	0	2	8	18	3
120	1153149	11	5.45	0.429752066	0	0	0	1	4	6	0
121	1156060	30	6.13	-1	-1	-1	-1	-1	-1	-1	-1
122	1158151	12	5.58	0.576388889	0	0	0	1	4	6	1
123	1158798	13	5.54	0.556213018	0	0	0	1	6	5	1
124	1162548	16	5.38	0.859375	0	0	0	3	6	5	2
125	1164698	21	5.67	0.762396694	0	0	0	3	4	12	3
126	1165089	28	5.64	0.387755102	0	0	0	1	11	15	1
127	1165092	10	5.4	0.84	0	0	1	0	3	6	0
128	1165093	15	5.73	0.52734375	0	0	0	0	6	7	3
129	1165096	32	5.62	0.421875	0	0	0	1	12	17	2
130	1165253	12	5.42	0.409722222	0	0	0	1	5	6	0
131	1167549	22	4.82	0.876033058	0	0	2	6	8	6	0
132	1169394	10	4.8	0.36	0	0	0	3	6	1	0
133	1169723	20	4.55	0.7475	0	0	2	8	7	3	0
134	1170289	10	5.1	0.49	0	0	0	2	5	3	0
135	1170430	33	5.91	-1	-1	-1	-1	-1	-1	-1	-1
136	1171040	45	5.8	-1	-1	-1	-1	-1	-1	-1	-1
137	1171787	23	4.96	-1	-1	-1	-1	-1	-1	-1	-1
138	1173061	25	6.08	0.6336	0	0	0	1	4	12	8
139	1174176	43	6.19	0.847980008	0	0	0	3	7	13	26
140	1174259	16	5.81	0.27734375	0	0	0	0	4	11	1
141	1175106	28	5.71	-1	-1	-1	-1	-1	-1	-1	-1
142	1175144	16	5.38	0.373333333	0	0	0	0	7	7	1
143	1175172	13	4.92	0.532544379	0	0	1	1	9	2	0
144	1175177	15	4.93	0.728888889	0	0	1	3	7	4	0
145	1175329	21	4.86	0.503401361	0	0	0	7	10	4	0
146	1175401	32	5.91	-1	-1	-1	-1	-1	-1	-1	-1
147	1175447	47	5.89	-1	-1	-1	-1	-1	-1	-1	-1
148	1175452	11	5	0.727272727	0	0	1	1	6	3	0
149	1175480	24	5.21	0.664930556	0	0	1	3	10	10	0
150	1176977	57	5.6	0.416128039	0	0	0	3	19	33	2
151	1180786	43	6.23	0.5616	0	0	0	0	9	18	23
152	1180793	29	6.03	-1	-1	-1	-1	-1	-1	-1	-1
153	1181292	10	5.4	0.44	0	0	0	1	4	5	0
154	1182078	39	5.67	0.581196581	0	0	0	4	8	24	3
155	1182257	22	5.32	0.580578512	0	0	0	3	10	8	1
156	1183984	18	5.89	0.209876543	0	0	0	0	3	14	1
157	1184079	47	5.87	0.249565972	0	0	0	0	10	35	3
158	1185009	20	5.1	0.3475	0	0	0	3	13	4	0
159	1185216	29	5.79	0.472222222	0	0	0	0	10	15	5
160	1186186	12	4.75	1.020833333	0	0	2	2	5	3	0
161	1186340	42	6.17	0.290968091	0	0	0	0	3	29	11
162	1187747	10	5.1	0.29	0	0	0	1	7	2	0
163	1188795	11	5.09	1.173553719	0	0	2	0	4	5	0
164	1189739	12	5	1	0	0	1	3	3	5	0
165	1190096	11	4.55	0.975206612	0	0	2	3	4	2	0
166	1193484	11	4.82	0.694214876	0	0	0	5	3	3	0
167	1194598	14	5.29	0.346938776	0	0	0	1	8	5	0
168	1198129	21	4.86	0.503401361	0	0	0	7	10	4	0
169	1200061	31	5.61	0.430801249	0	0	0	1	12	16	2
170	1202838	28	5.39	-1	-1	-1	-1	-1	-1	-1	-1
171	1202847	28	5.36	-1	-1	-1	-1	-1	-1	-1	-1
172	1203647	13	5.23	0.639053254	0	0	0	2	7	3	1
173	1204130	10	5	0.8	0	0	0	4	2	4	0
174	1206288	26	5.19	0.539940828	0	0	0	5	11	10	0
175	1208422	14	5.07	0.494897959	0	0	0	3	7	4	0
176	1209666	16	6.31	0.328888889	0	0	0	0	1	9	5
177	1210163	24	5.25	0.520833333	0	0	0	4	10	10	0
178	1210553	21	5.43	0.530612245	0	0	0	2	9	9	1
179	1212818	15	5.2	0.693333333	0	0	0	4	4	7	0
180	1213294	11	5.18	0.472222222	0	0	0	2	6	4	0
181	1216007	21	5.95	-1	-1	-1	-1	-1	-1	-1	-1
