imgID,rAvg,gAvg,bAvg,avgBrightness,LA,LB,LC,Sharpness,Exposure,Saturation,Hue,ROT1,ROT2,ROT3,Size,AspectRatio,WTH1,WTH2,WTH3,WTS1,WTS2,WTS3,WTV1,WTV2,WTV3,DOFH,DOFS,DOFV,Simplicity1,Simplicity2,colourfullness,,Mean Rating
imgID,rAvg,gAvg,bAvg,avgBrightness,LA,LB,LC,anti-blurr,exposure&colourfullness,saturation,hue,ROT1,ROT2,ROT3,size,aspectRatio,WTH1,WTH2,WTH3,WTS1,WTS2,WTS3,WTV1,WTV2,WTV3,DOFH,DOFS,DOFV,Simplicity1,Simplicity2,colourfullness,,Mean/AdjMean Rating
1008958,35.53957485,32.33533795,30.05135486,32.64208922,32.85165513,33.03303071,33.20874422,293.3167533,30.05135486,32.33533795,35.53957485,42.81822082,33.39348105,27.72694578,1093,0.666158537,10367,11973,16263,9372,11179,15528.5,7988,8952,14094,0.658465665,0.70574899,0.743392024,5.128205128,0.030395137,3.685670755,,7.3857069
1009826,121.2073136,121.2073136,121.2073136,121.2073136,121.2073136,121.2073136,121.2073136,859.0793606,121.2073136,121.2073136,121.2073136,131.9672549,131.9672549,131.9672549,1127,0.674591382,-8401.5,-2863.75,27131.625,-8401.5,-2863.75,27131.625,-8401.5,-2863.75,27131.625,0.112811375,0.112811375,0.112811375,0.398565165,0.384615385,18.87151986,,7.6571352
1010164,87.63025947,87.63025947,87.63025947,87.63025947,87.63025947,87.63025947,87.63025947,438.0690848,87.63025947,87.63025947,87.63025947,126.968471,126.968471,126.968471,985,1.474874372,-3780,-1626.5,-7314.625,-3780,-1626.5,-7314.625,-3780,-1626.5,-7314.625,-11.46146721,-11.46146721,-11.46146721,1.769911504,0.079365079,16.69956696,,8.2285632
1010795,85.1258921,81.53287897,71.28371919,79.31416342,81.55676422,81.43878568,82.6968912,1065.250526,71.28371919,81.53287897,85.1258921,158.0965213,143.0940709,131.5151708,783,0.724669604,2190.5,17703.5,3321.25,-1086,12898,1920,1098,12513,4325.5,0.070690696,0.003562223,0.05100605,2.364066194,0.028089888,20.25914361,,7.7714208
1010893,185.2748365,183.6911295,165.9972785,178.3210815,182.7503296,182.1475589,183.1916517,8875.505894,165.9972785,183.6911295,185.2748365,125.1174264,114.5254402,91.10349883,1225,1.004909984,-52492,147493,-12042.5,-47525,151471.25,-7980.375,-56949.5,140735.75,-11011.125,-0.382885329,-0.393302737,-0.274419857,0.384319754,10,28.58669833,,9.3142764
1012254,25.51665916,30.7467928,35.55589548,30.60644914,29.9820836,29.73122054,30.21267354,289.7317865,35.55589548,30.7467928,25.51665916,38.39407072,43.631344,48.33295429,1089,0.660060976,-1689,-1744.5,-1831.75,193,-406,-1354.5,323,30,-2970.5,0.385522027,0.333455909,0.344742358,4.926108374,0.060606061,2.588399042,,7.2428499
1015996,122.7063608,122.7063608,122.7063608,122.7063608,122.7063608,122.7063608,122.7063608,638.8367493,122.7063608,122.7063608,122.7063608,150.3859439,150.3859439,150.3859439,1147,0.74847561,-21180,-36848,40715.5,-21180,-36848,40715.5,-21180,-36848,40715.5,-0.440659133,-0.440659133,-0.440659133,3.300330033,0.035460993,23.2222099,,8.0999919
1016162,147.9122925,123.2025626,98.69198287,123.268946,126.6861873,127.7965657,129.4494408,742.8009451,98.69198287,123.2025626,147.9122925,165.5986957,114.4381423,86.77399209,790,1.393939394,5291,5619.5,6299.375,-1134.5,-1665.75,-4823.75,-5737.5,-7377,-11576.875,-0.232997567,2.155404677,0.772283355,1.587301587,0.093457944,37.00599167,,8.6142771
1016182,107.7257039,90.55209605,81.77585378,93.35121792,93.56956039,94.68651319,95.05256808,132.3810933,81.77585378,90.55209605,107.7257039,164.3648019,126.7699301,107.3340992,1059,1.468531469,8123,9868.25,7095.125,4325,5271.75,5641.375,2927.5,3556.5,2192.75,1.39563029,1.514038445,2.516069577,3.355704698,0.111111111,13.82110718,,7.857135
1016311,99.59123347,144.604838,78.81992063,107.6719974,130.2852746,123.6462896,131.7692213,10790.60567,78.81992063,144.604838,99.59123347,84.02860119,115.874494,75.09255952,1110,0.761904762,-23616.5,27350.75,9079.375,-19449.5,44570.25,12518.125,-29566,24633,9664.5,2.218948562,2.529837114,1.147816349,0.190839695,0.013586957,15.94848912,,9.1285623
1016343,109.5176884,100.6849072,81.19312223,97.13190594,101.1554496,101.1038453,101.9121907,3741.184943,81.19312223,100.6849072,109.5176884,118.6155172,110.3009804,90.61913455,1047,0.710784314,1909.5,-5252.25,1618,2128.5,-5537.75,97.25,-1416.5,-8702.25,-4587.125,-1.842528834,-1.415547561,-1.33910322,0.35945363,10,15.80321421,,8.8428483
1016686,71.89348699,115.1853632,65.34956347,84.14280455,102.3833656,96.55981104,103.8376986,2385.907368,65.34956347,115.1853632,71.89348699,85.13933997,139.1419329,53.68239916,967,1.330120482,-114188,83041,8339,-104193.5,70006.25,9737.625,-105995,76369.5,4824.75,-0.033827498,-0.137785237,-0.071140218,15.38461538,5,12.44998102,,9.1857051
1018451,96.2703655,127.6832392,76.70589622,100.2198337,117.3242981,112.4793729,119.2478673,5636.98732,76.70589622,127.6832392,96.2703655,104.9560471,116.2182683,99.59213355,1138,0.767080745,-296.5,37657.75,14858.875,-3035.5,28560.25,16059.125,2048.5,43275,21819.5,0.625443749,0.765646598,0.484750665,0.747943156,0.714285714,13.28786336,,8.6714199
1019147,117.3794216,125.0279342,67.39664472,103.2680002,119.2408813,116.1710619,121.3752904,1395.623503,67.39664472,125.0279342,117.3794216,45.58408722,49.39133053,21.78675424,1113,0.730948678,1643.5,24662.5,8787.25,12002,22714.5,13000.25,12541.5,35798.25,1222,10.7947425,-3.847894807,0.060642467,1.872659176,0.028571429,19.82158585,,7.8142779
1020568,91.21560852,91.51469548,59.55511804,80.76180735,89.1436281,87.78187665,94.46401003,228.8195987,59.55511804,91.51469548,91.21560852,121.0993183,175.8085404,39.14230033,1183,0.579439252,14073.5,15133.75,12020.375,9139.5,17387.25,12506.625,-6249.5,-9198.25,4291.875,0.268302237,-1.777711544,0.425898099,2.96735905,0.2,11.42400645,,7.3142784
1022109,94.34296335,88.74572183,39.74053438,74.27640652,86.39752084,84.83270568,89.06115003,2036.643262,39.74053438,88.74572183,94.34296335,52.88601119,46.38799028,34.13586229,982,0.763016158,7294.5,13368.25,-28433.375,7985.5,12867.25,-14061.875,1027,17694.5,-12130.75,0.166076874,0.093622196,0.152256517,1.639344262,0.009881423,11.89292361,,9.0142767
1022419,127.0881035,146.7887918,164.60613,146.1610084,143.8868373,142.9294626,144.4261213,1099.554342,164.60613,146.7887918,127.0881035,97.76823075,110.9850498,116.0287223,952,0.740402194,-40325,-4433.5,-81877.75,-38116,-6816,-66721.5,-29855.5,-4017.75,-41555.375,-0.058175904,-0.023442651,0.00444148,2.985074627,0.5,34.10074276,,9.0285624
1024430,134.852987,122.8521916,121.3476939,126.3509575,125.2949359,126.2689167,126.0240304,1532.617398,121.3476939,122.8521916,134.852987,152.9996465,134.8673377,133.2978985,1109,0.851419032,4861.5,-15487.5,-913.25,6241,-13745.75,342.625,6419.5,-13356.5,675.75,-0.683477496,-0.749352432,-0.747117814,0.926784059,0.013333333,22.9747829,,6.857136
1024892,158.8849766,102.2637155,36.02618895,99.05829367,109.5190462,111.6423945,116.3923825,68.60674292,36.02618895,102.2637155,158.8849766,153.02803,99.10174434,40.79217873,1262,0.987401575,21976.5,18929.25,16448.125,17793.5,14430.75,15160.125,11172,5575,11745.625,0.228632973,0.289621601,0.778273701,1.457725948,0.076335878,12.19562505,,6.428565
1025315,177.1400959,151.3078306,128.0529704,152.1669656,155.1207693,156.3806239,158.8540926,2988.852907,128.0529704,151.3078306,177.1400959,169.5242711,103.1694818,46.66217618,933,0.773764259,53362,29957,27637.5,55211.5,32425.75,27768.875,55955,31643.5,28177.25,0.311528194,0.666368558,4.983382107,0.664451827,0.136986301,41.0017582,,8.4571344
1025600,148.0638482,120.0089527,109.6503695,125.9077235,125.2255338,127.216488,127.5071627,280.8046256,109.6503695,120.0089527,148.0638482,154.825707,114.7194969,97.23574677,764,0.682819383,4185,17448.5,12839.25,5458,23794,16994,6979.5,22703.75,17800.875,0.389041686,0.330585576,0.259529188,8.547008547,0.136986301,39.74896919,,7.14285
1026407,101.9267423,85.48799597,74.46176306,87.2921671,88.18677942,89.14619056,89.31575823,202.1838152,74.46176306,85.48799597,101.9267423,65.60993918,49.33238028,38.97415277,1144,1.50877193,5513.5,-6159.25,1666.375,5165,-6552.5,1166.75,3938,-7801,146,-0.73827083,-0.725851399,-0.757456934,1.968503937,0.076923077,11.52800007,,7.6571352
1026868,54.59684856,70.03558123,48.67930172,57.77057717,65.21138328,62.9847843,65.9795958,4714.676457,48.67930172,70.03558123,54.59684856,97.28029707,114.8424036,61.70560262,1142,1.099264706,-7971,-73514,16666.5,-9053.5,-78463.75,21505.625,-1244.5,-64755,8863,0.692880407,0.837381645,0.650523154,0.773993808,0.015174507,6.473586806,,8.428563
1027296,158.6587743,127.1205954,111.9503871,132.5765856,132.7303232,134.8211071,134.663348,1088.92892,111.9503871,127.1205954,158.6587743,223.414237,179.9984744,149.297606,873,0.666030534,-2587,36259.5,16690.25,-5111,35150.5,10133.25,-8271.5,29609.25,4751.625,0.48232789,0.439038721,0.487592112,2.409638554,0.0390625,33.75253227,,8.8857054
1029026,115.2771407,122.5028704,107.3299111,115.0366407,119.8711926,118.6126599,120.4296111,599.676568,107.3299111,122.5028704,115.2771407,85.6916,87.95946667,64.135,1050,0.75,-176,-2561.5,-1492.25,6018.5,4556.5,7757,14632,13880.25,16163.375,-4.164239421,1.29147247,0.831803393,0.857632933,0.024271845,20.16482013,,5.9714226
1029239,112.5251903,109.719644,79.1378198,100.4608847,108.1080954,107.0721744,109.6531038,4585.063908,79.1378198,109.719644,112.5251903,166.7725904,142.0269411,112.7283858,1146,0.768518519,23723.5,-151165.25,-3778.625,28756,-144801,-1883,18398.5,-160200.75,-5742.375,0.213023416,0.017799128,-0.08381432,0.720980534,10,12.90391031,,8.8428483
1029881,139.3880232,121.6004581,101.5135856,120.8340223,123.9318222,124.6290366,125.0542373,1304.15438,101.5135856,121.6004581,139.3880232,139.8521637,123.0395054,101.9368986,1038,1.118367347,-16232,-19753.25,-25209.875,-14015.5,-17064.5,-23316,-11320,-13213.75,-21150.625,0.422461126,0.436279271,0.506090481,1.015228426,0.020533881,20.50162742,,9.1857051
1030736,104.3140246,91.91823067,83.12987998,93.12071174,93.91905754,94.62270107,94.63015739,604.0194523,83.12987998,91.91823067,104.3140246,96.04931847,82.16168342,72.37162717,1072,1,-1171,734.5,-6332.25,-1182,976,-5973.5,-787,1624.5,-5740.25,-0.966673742,-1.056503161,-0.993136896,1.05374078,0.042918455,13.10570729,,7.285707
1031781,95.9619833,96.48847947,88.78632568,93.74559615,95.82045088,95.45301158,97.33414043,42.4450246,88.78632568,96.48847947,95.9619833,71.37501044,66.80874739,75.02724426,1079,0.798333333,20118,21740,22758,15172,16924,18024,13372.5,15821.25,16988.625,0.208099803,0.280173359,0.242987919,15.87301587,0.149253731,13.57613913,,7.14285
1032145,54.64681287,73.02045948,76.79081454,68.15269563,69.38644185,67.95655962,70.111744,464.4813485,76.79081454,73.02045948,54.64681287,155.3375188,161.348985,152.3608271,999,0.665,-31347.5,4461.25,13073.125,-34095,3637.5,10518.75,-22942.5,1071.75,5771.375,0.129660603,0.156482005,0.228402002,11.49425287,0.2,9.515887603,,8.7428484
1032546,100.6158824,61.7534232,40.99583333,67.78837963,68.51688403,71.00693324,73.51102317,1245.373172,40.99583333,61.7534232,100.6158824,73.44481618,48.96045956,38.51630515,1412,1.307189542,-22866,-27841,-35028.25,-2326,-4863,-15897.75,1844,-2249,-10884.875,-0.002408712,-0.050487536,-0.713672736,0.541418517,0.022624434,5.638113736,,7.2571356
1032547,39.8045,38.11633704,35.7098963,37.87691111,38.30149546,38.34676352,38.49311145,81.05140974,35.7098963,38.11633704,39.8045,40.8371,40.4375,39.491,1050,0.75,2270.5,1051.5,1463.5,2556.5,1202.25,1757.125,1808,1113,2053,1.411690679,1.560291327,1.205458063,30.3030303,0.023866348,2.56360721,,6.9285645
1034956,101.6891863,88.90998283,83.05535627,91.21817513,91.20413745,92.06353724,91.9074174,7685.294796,83.05535627,88.90998283,101.6891863,89.43963852,73.96012693,67.59616446,734,1.430463576,2935,-46154.75,24563.125,4022,-46499.5,25198.75,4931,-45861.5,25713.75,0.296094721,0.417166036,0.523394074,0.619962802,0.006920415,24.36314465,,7.3142784
1036735,37.99048184,37.99048184,37.99048184,37.99048184,37.99048184,37.99048184,37.99048184,10.12191406,37.99048184,37.99048184,37.99048184,101.0219671,101.0219671,101.0219671,1140,0.751152074,-87,844.5,750.75,-87,844.5,750.75,-87,844.5,750.75,8.308097973,8.308097973,8.308097973,125,10,3.343046682,,8.3142774
1042104,107.0179935,97.23777579,70.39558985,91.55045303,97.37904424,97.10205167,98.96972174,10007.87926,70.39558985,97.23777579,107.0179935,65.33062846,54.28075293,37.22372247,1127,1.163147793,76264.5,208221.25,-75401.375,71869,217345.5,-81396.25,68225,214424.5,-82343.25,0.123947286,0.134024154,0.170019197,0.444444444,10,13.51349729,,8.6714199
1042467,242.4060453,231.0534018,223.4138786,232.2911086,232.9154002,233.5769366,237.3620687,927.4020412,223.4138786,231.0534018,242.4060453,216.8562577,230.915693,241.3915737,916,0.70260223,236.5,3167,-1809.75,-108,2661.75,-2683.875,216,2426,-2650.5,-0.881530482,0.227477424,6.424916574,7.462686567,0.294117647,85.3871159,,7.999992
