imgID,rAvg,gAvg,bAvg,exposure of light and Colorfullness,saturisation,hue,          rule of Thirds,of,thirds,size,aspect ratio,,Ratings Received,Mean of Ratings,Standard Deviation,1,2,3,4,5,6,7
1008958,35.53957485,32.33533795,30.05135486,30.05135486,32.33533795,35.53957485,42.81822082,33.39348105,27.72694578,1093,0.666158537,,18,5.17,0.583333333,0,0,0,4,7,7,0
1009826,121.2073136,121.2073136,121.2073136,121.2073136,121.2073136,121.2073136,131.9672549,131.9672549,131.9672549,1127,0.674591382,,11,5.36,1.32231405,0,0,1,1,4,3,2
1010164,87.63025947,87.63025947,87.63025947,87.63025947,87.63025947,87.63025947,126.968471,126.968471,126.968471,985,1.474874372,,21,5.76,0.421487603,0,0,0,1,4,15,2
1010795,85.1258921,81.53287897,71.28371919,71.28371919,81.53287897,85.1258921,158.0965213,143.0940709,131.5151708,783,0.724669604,,25,5.44,0.5664,0,0,0,4,6,15,0
1010893,185.2748365,183.6911295,165.9972785,165.9972785,183.6911295,185.2748365,125.1174264,114.5254402,91.10349883,1225,1.004909984,,27,6.52,0.320153061,0,0,0,0,1,11,16
1012254,25.51665916,30.7467928,35.55589548,35.55589548,30.7467928,25.51665916,38.39407072,43.631344,48.33295429,1089,0.660060976,,27,5.07,0.587105624,0,0,0,7,11,9,0
1015996,122.7063608,122.7063608,122.7063608,122.7063608,122.7063608,122.7063608,150.3859439,150.3859439,150.3859439,1147,0.74847561,,12,5.67,0.722222222,0,0,1,0,1,10,0
1016162,147.9122925,123.2025626,98.69198287,98.69198287,123.2025626,147.9122925,165.5986957,114.4381423,86.77399209,790,1.393939394,,31,6.03,0.16024974,0,0,0,0,2,26,3
1016182,107.7257039,90.55209605,81.77585378,81.77585378,90.55209605,107.7257039,164.3648019,126.7699301,107.3340992,1059,1.468531469,,10,5.5,0.64,0,0,0,2,2,6,0
1016311,99.59123347,144.604838,78.81992063,78.81992063,144.604838,99.59123347,84.02860119,115.874494,75.09255952,1110,0.761904762,,23,6.39,0.326388889,0,0,0,0,1,12,11
1016343,109.5176884,100.6849072,81.19312223,81.19312223,100.6849072,109.5176884,118.6155172,110.3009804,90.61913455,1047,0.710784314,,37,6.19,0.382642998,0,0,0,0,4,22,13
1016686,71.89348699,115.1853632,65.34956347,65.34956347,115.1853632,71.89348699,85.13933997,139.1419329,53.68239916,967,1.330120482,,47,6.43,0.408163265,0,0,0,1,1,23,24
1018451,96.2703655,127.6832392,76.70589622,76.70589622,127.6832392,96.2703655,104.9560471,116.2182683,99.59213355,1138,0.767080745,,14,6.07,0.359375,0,0,0,0,2,10,4
1019147,117.3794216,125.0279342,67.39664472,67.39664472,125.0279342,117.3794216,45.58408722,49.39133053,21.78675424,1113,0.730948678,,57,5.47,0.600184672,0,0,1,5,19,30,2
1020568,91.21560852,91.51469548,59.55511804,59.55511804,91.51469548,91.21560852,121.0993183,175.8085404,39.14230033,1183,0.579439252,,41,5.12,0.692444973,0,0,2,5,21,12,1
1022109,94.34296335,88.74572183,39.74053438,39.74053438,88.74572183,94.34296335,52.88601119,46.38799028,34.13586229,982,0.763016158,,13,6.31,0.213017751,0,0,0,0,0,9,4
1022419,127.0881035,146.7887918,164.60613,164.60613,146.7887918,127.0881035,97.76823075,110.9850498,116.0287223,952,0.740402194,,53,6.32,0.361730718,0,0,0,1,1,34,25
1024430,134.852987,122.8521916,121.3476939,121.3476939,122.8521916,134.852987,152.9996465,134.8673377,133.2978985,1109,0.851419032,,15,4.8,0.693333333,0,0,1,4,7,3,0
1024892,158.8849766,102.2637155,36.02618895,36.02618895,102.2637155,158.8849766,153.02803,99.10174434,40.79217873,1262,0.987401575,,18,4.5,0.805555556,0,0,2,8,5,3,0
1025315,177.1400959,151.3078306,128.0529704,128.0529704,151.3078306,177.1400959,169.5242711,103.1694818,46.66217618,933,0.773764259,,12,5.92,0.224852071,0,0,0,0,2,10,1
1025600,148.0638482,120.0089527,109.6503695,109.6503695,120.0089527,148.0638482,154.825707,114.7194969,97.23574677,764,0.682819383,,18,5,0.941176471,0,0,1,5,4,7,0
1026407,101.9267423,85.48799597,74.46176306,74.46176306,85.48799597,101.9267423,65.60993918,49.33238028,38.97415277,1144,1.50877193,,25,5.36,0.7904,0,0,1,3,8,12,1
1026868,54.59684856,70.03558123,48.67930172,48.67930172,70.03558123,54.59684856,97.28029707,114.8424036,61.70560262,1142,1.099264706,,97,5.9,0.458975427,0,0,1,1,19,63,14
1027296,158.6587743,127.1205954,111.9503871,111.9503871,127.1205954,158.6587743,223.414237,179.9984744,149.297606,873,0.666030534,,59,6.22,0.351318359,0,0,0,0,5,37,22
1029026,115.2771407,122.5028704,107.3299111,107.3299111,122.5028704,115.2771407,85.6916,87.95946667,64.135,1050,0.75,,11,4.18,1.239669421,0,0,4,3,2,2,0
1029239,112.5251903,109.719644,79.1378198,79.1378198,109.719644,112.5251903,166.7725904,142.0269411,112.7283858,1146,0.768518519,,16,6.19,0.21,0,0,0,0,0,14,6
1029881,139.3880232,121.6004581,101.5135856,101.5135856,121.6004581,139.3880232,139.8521637,123.0395054,101.9368986,1038,1.118367347,,47,6.43,0.463010204,0,0,0,1,3,21,31
1030736,104.3140246,91.91823067,83.12987998,83.12987998,91.91823067,104.3140246,96.04931847,82.16168342,72.37162717,1072,1,,10,5.1,0.89,0,0,0,4,1,5,0
1031781,95.9619833,96.48847947,88.78632568,88.78632568,96.48847947,95.9619833,71.37501044,66.80874739,75.02724426,1079,0.798333333,,12,5,1.666666667,0,0,2,3,1,5,1
1032145,54.64681287,73.02045948,76.79081454,76.79081454,73.02045948,54.64681287,155.3375188,161.348985,152.3608271,999,0.665,,32,6.12,0.583333333,0,0,0,1,5,17,13
1032546,100.6158824,61.7534232,40.99583333,40.99583333,61.7534232,100.6158824,73.44481618,48.96045956,38.51630515,1412,1.307189542,,12,5.08,0.576388889,0,0,0,3,5,4,0
1032547,39.8045,38.11633704,35.7098963,35.7098963,38.11633704,39.8045,40.8371,40.4375,39.491,1050,0.75,,13,4.85,0.899408284,0,0,1,4,4,4,0
1034956,101.6891863,88.90998283,83.05535627,83.05535627,88.90998283,101.6891863,89.43963852,73.96012693,67.59616446,734,1.430463576,,57,5.12,0.669128963,0,0,1,11,27,16,2
1036735,37.99048184,37.99048184,37.99048184,37.99048184,37.99048184,37.99048184,101.0219671,101.0219671,101.0219671,1140,0.751152074,,11,5.82,0.876033058,0,0,0,2,0,7,2
1042104,107.0179935,97.23777579,70.39558985,70.39558985,97.23777579,107.0179935,65.33062846,54.28075293,37.22372247,1127,1.163147793,,14,6.07,0.462222222,0,0,0,1,0,11,3
1042467,242.4060453,231.0534018,223.4138786,223.4138786,231.0534018,242.4060453,216.8562577,230.915693,241.3915737,916,0.70260223,,15,5.6,0.632653061,0,0,0,1,4,7,2
1045234,155.5147595,155.5147595,155.5147595,155.5147595,155.5147595,155.5147595,147.5577058,147.5577058,147.5577058,951,0.653913043,,16,5.5,0.625,0,0,0,1,8,5,2
1049550,118.4890017,106.5205917,93.96159869,93.96159869,106.5205917,118.4890017,92.85819769,80.42307978,70.96380516,1139,1.128971963,,45,6.16,0.55785124,0,0,0,1,6,21,16
1053125,159.2311737,159.2311737,159.2311737,159.2311737,159.2311737,159.2311737,95.64349127,95.64349127,95.64349127,1087,0.649468892,,28,4.96,0.605867347,0,0,1,6,14,7,0
1055085,168.8600814,168.8600814,168.8600814,168.8600814,168.8600814,168.8600814,130.433775,130.433775,130.433775,1180,0.732745962,,11,4.73,0.925619835,0,0,1,4,3,3,0
1056337,142.3320933,142.3320933,142.3320933,142.3320933,142.3320933,142.3320933,161.8371041,161.8371041,161.8371041,1096,0.653092006,,17,5.65,0.816608997,0,0,1,1,2,12,1
1058346,55.78666957,55.78666957,55.78666957,55.78666957,55.78666957,55.78666957,67.98491379,67.98491379,67.98491379,1016,0.751724138,,17,4.82,0.733564014,0,0,1,5,7,4,0
1058555,98.95144512,98.95144512,98.95144512,98.95144512,98.95144512,98.95144512,44.21208938,44.21208938,44.21208938,1401,1.497326203,,15,5.93,0.462222222,0,0,0,0,4,8,3
1059407,66.03918726,87.65617856,212.4684524,212.4684524,87.65617856,66.03918726,65.39165337,72.24382103,137.0303802,1000,0.782531194,,21,6.29,0.735207101,0,0,0,1,4,8,13
1059873,91.2044751,66.55833347,58.59257338,58.59257338,66.55833347,91.2044751,57.80418011,31.42170203,33.90130801,1011,0.687813022,,10,5,0.8,0,0,1,1,5,3,0
1060788,64.13099327,68.33010852,22.56884767,22.56884767,68.33010852,64.13099327,84.51088323,92.71698113,27.83739916,1407,1.516994633,,15,5.33,0.888888889,0,0,1,1,6,6,1
1060888,157.0251516,137.2277416,122.024889,122.024889,137.2277416,157.0251516,117.7396188,96.69598377,79.95021699,1272,1.092105263,,31,5.97,0.4375,0,0,0,1,4,21,6
1063443,164.5189099,155.9508131,193.2103342,193.2103342,155.9508131,164.5189099,149.6914667,140.6607659,188.4174956,919,0.509031199,,21,5.52,0.344671202,0,0,0,1,8,12,0
1063819,62.90961544,158.7827773,44.6210723,44.6210723,158.7827773,62.90961544,76.96024392,125.2308772,59.17348083,1767,0.666981132,,19,5.26,0.825484765,0,0,1,2,8,7,1
1065556,136.0858619,136.0858619,136.6062023,136.6062023,136.0858619,136.0858619,144.5645928,144.5645928,144.5645928,1173,1.144424132,,12,5.92,0.409722222,0,0,0,0,3,7,2
1071464,111.5866441,111.5866441,111.5866441,111.5866441,111.5866441,111.5866441,117.8803231,117.8803231,117.8803231,778,0.713656388,,22,5.64,0.972222222,0,0,1,2,5,12,4
1082228,171.4519128,187.198377,200.8526199,200.8526199,187.198377,171.4519128,129.0505796,154.9539642,178.0108475,1023,0.707846411,,10,4.9,0.49,0,0,0,3,5,2,0
1082318,108.3461422,91.12758881,82.408057,82.408057,91.12758881,108.3461422,114.2088417,98.55112286,80.199432,1113,1.294845361,,17,6.18,0.25,0,0,0,0,1,13,4
