imgID,r,g,b,avgBrightness,LA,LB,LC,anti-blurr,exposure&colourfullness,saturation,hue,ROT1,ROT2,ROT3,size,aspectRatio,WTH1,WTH2,WTH3,WTS1,WTS2,WTS3,WTV1,WTV2,WTV3,hue,saturation ,value,PART,Ratings Received,Mean of Ratings,Standard Deviation,1,2,3,4,5,6,7
1008958,35.53957485,32.33533795,30.05135486,32.64208922,32.85165513,33.03303071,33.20874422,293.3167533,30.05135486,32.33533795,35.53957485,42.81822082,33.39348105,27.72694578,1093,0.666158537,10367,11973,16263,9372,11179,15528.5,7988,8952,14094,0.658465665,0.70574899,0.743392024,,18,5.17,0.583333333,0,0,0,4,7,7,0
1009826,121.2073136,121.2073136,121.2073136,121.2073136,121.2073136,121.2073136,121.2073136,859.0793606,121.2073136,121.2073136,121.2073136,131.9672549,131.9672549,131.9672549,1127,0.674591382,-8401.5,-2863.75,27131.625,-8401.5,-2863.75,27131.625,-8401.5,-2863.75,27131.625,0.112811375,0.112811375,0.112811375,,11,5.36,1.32231405,0,0,1,1,4,3,2
1010164,87.63025947,87.63025947,87.63025947,87.63025947,87.63025947,87.63025947,87.63025947,438.0690848,87.63025947,87.63025947,87.63025947,126.968471,126.968471,126.968471,985,1.474874372,-3780,-1626.5,-7314.625,-3780,-1626.5,-7314.625,-3780,-1626.5,-7314.625,-11.46146721,-11.46146721,-11.46146721,,21,5.76,0.421487603,0,0,0,1,4,15,2
1010795,85.1258921,81.53287897,71.28371919,79.31416342,81.55676422,81.43878568,82.6968912,1065.250526,71.28371919,81.53287897,85.1258921,158.0965213,143.0940709,131.5151708,783,0.724669604,2190.5,17703.5,3321.25,-1086,12898,1920,1098,12513,4325.5,0.070690696,0.003562223,0.05100605,,25,5.44,0.5664,0,0,0,4,6,15,0
1010893,185.2748365,183.6911295,165.9972785,178.3210815,182.7503296,182.1475589,183.1916517,8875.505894,165.9972785,183.6911295,185.2748365,125.1174264,114.5254402,91.10349883,1225,1.004909984,-52492,147493,-12042.5,-47525,151471.25,-7980.375,-56949.5,140735.75,-11011.125,-0.382885329,-0.393302737,-0.274419857,,27,6.52,0.320153061,0,0,0,0,1,11,16
1012254,25.51665916,30.7467928,35.55589548,30.60644914,29.9820836,29.73122054,30.21267354,289.7317865,35.55589548,30.7467928,25.51665916,38.39407072,43.631344,48.33295429,1089,0.660060976,-1689,-1744.5,-1831.75,193,-406,-1354.5,323,30,-2970.5,0.385522027,0.333455909,0.344742358,,27,5.07,0.587105624,0,0,0,7,11,9,0
1015996,122.7063608,122.7063608,122.7063608,122.7063608,122.7063608,122.7063608,122.7063608,638.8367493,122.7063608,122.7063608,122.7063608,150.3859439,150.3859439,150.3859439,1147,0.74847561,-21180,-36848,40715.5,-21180,-36848,40715.5,-21180,-36848,40715.5,-0.440659133,-0.440659133,-0.440659133,,12,5.67,0.722222222,0,0,1,0,1,10,0
1016162,147.9122925,123.2025626,98.69198287,123.268946,126.6861873,127.7965657,129.4494408,742.8009451,98.69198287,123.2025626,147.9122925,165.5986957,114.4381423,86.77399209,790,1.393939394,5291,5619.5,6299.375,-1134.5,-1665.75,-4823.75,-5737.5,-7377,-11576.875,-0.232997567,2.155404677,0.772283355,,31,6.03,0.16024974,0,0,0,0,2,26,3
1016182,107.7257039,90.55209605,81.77585378,93.35121792,93.56956039,94.68651319,95.05256808,132.3810933,81.77585378,90.55209605,107.7257039,164.3648019,126.7699301,107.3340992,1059,1.468531469,8123,9868.25,7095.125,4325,5271.75,5641.375,2927.5,3556.5,2192.75,1.39563029,1.514038445,2.516069577,,10,5.5,0.64,0,0,0,2,2,6,0
1016311,99.59123347,144.604838,78.81992063,107.6719974,130.2852746,123.6462896,131.7692213,10790.60567,78.81992063,144.604838,99.59123347,84.02860119,115.874494,75.09255952,1110,0.761904762,-23616.5,27350.75,9079.375,-19449.5,44570.25,12518.125,-29566,24633,9664.5,2.218948562,2.529837114,1.147816349,,23,6.39,0.326388889,0,0,0,0,1,12,11
1016343,109.5176884,100.6849072,81.19312223,97.13190594,101.1554496,101.1038453,101.9121907,3741.184943,81.19312223,100.6849072,109.5176884,118.6155172,110.3009804,90.61913455,1047,0.710784314,1909.5,-5252.25,1618,2128.5,-5537.75,97.25,-1416.5,-8702.25,-4587.125,-1.842528834,-1.415547561,-1.33910322,,37,6.19,0.382642998,0,0,0,0,4,22,13
1016686,71.89348699,115.1853632,65.34956347,84.14280455,102.3833656,96.55981104,103.8376986,2385.907368,65.34956347,115.1853632,71.89348699,85.13933997,139.1419329,53.68239916,967,1.330120482,-114188,83041,8339,-104193.5,70006.25,9737.625,-105995,76369.5,4824.75,-0.033827498,-0.137785237,-0.071140218,,47,6.43,0.408163265,0,0,0,1,1,23,24
1018451,96.2703655,127.6832392,76.70589622,100.2198337,117.3242981,112.4793729,119.2478673,5636.98732,76.70589622,127.6832392,96.2703655,104.9560471,116.2182683,99.59213355,1138,0.767080745,-296.5,37657.75,14858.875,-3035.5,28560.25,16059.125,2048.5,43275,21819.5,0.625443749,0.765646598,0.484750665,,14,6.07,0.359375,0,0,0,0,2,10,4
1019147,117.3794216,125.0279342,67.39664472,103.2680002,119.2408813,116.1710619,121.3752904,1395.623503,67.39664472,125.0279342,117.3794216,45.58408722,49.39133053,21.78675424,1113,0.730948678,1643.5,24662.5,8787.25,12002,22714.5,13000.25,12541.5,35798.25,1222,10.7947425,-3.847894807,0.060642467,,57,5.47,0.600184672,0,0,1,5,19,30,2
1020568,91.21560852,91.51469548,59.55511804,80.76180735,89.1436281,87.78187665,94.46401003,228.8195987,59.55511804,91.51469548,91.21560852,121.0993183,175.8085404,39.14230033,1183,0.579439252,14073.5,15133.75,12020.375,9139.5,17387.25,12506.625,-6249.5,-9198.25,4291.875,0.268302237,-1.777711544,0.425898099,,41,5.12,0.692444973,0,0,2,5,21,12,1
1022109,94.34296335,88.74572183,39.74053438,74.27640652,86.39752084,84.83270568,89.06115003,2036.643262,39.74053438,88.74572183,94.34296335,52.88601119,46.38799028,34.13586229,982,0.763016158,7294.5,13368.25,-28433.375,7985.5,12867.25,-14061.875,1027,17694.5,-12130.75,0.166076874,0.093622196,0.152256517,,13,6.31,0.213017751,0,0,0,0,0,9,4
1022419,127.0881035,146.7887918,164.60613,146.1610084,143.8868373,142.9294626,144.4261213,1099.554342,164.60613,146.7887918,127.0881035,97.76823075,110.9850498,116.0287223,952,0.740402194,-40325,-4433.5,-81877.75,-38116,-6816,-66721.5,-29855.5,-4017.75,-41555.375,-0.058175904,-0.023442651,0.00444148,,53,6.32,0.361730718,0,0,0,1,1,34,25
1024430,134.852987,122.8521916,121.3476939,126.3509575,125.2949359,126.2689167,126.0240304,1532.617398,121.3476939,122.8521916,134.852987,152.9996465,134.8673377,133.2978985,1109,0.851419032,4861.5,-15487.5,-913.25,6241,-13745.75,342.625,6419.5,-13356.5,675.75,-0.683477496,-0.749352432,-0.747117814,,15,4.8,0.693333333,0,0,1,4,7,3,0
